Fund Name,What is the 1-month performance figure?,What is the 3-month performance figure?,What is the 6-month performance figure?,What is the 1-year performance figure?,What is the 3-year performance figure?,What is the 5-year performance figure?,What are the top 10 holdings of the fund_ along with their weights?,What is the asset allocation breakdown for the fund?,What is the geographic allocation of the fund’s investments?,What is the sector breakdown of the fund?,What is the credit quality of the bonds held in the fund?,What is the duration of the bonds held in the fund?,How is the performance of the fund measured against its benchmark?,What is the cumulative performance of the fund for the last month?,What is the quartile ranking of the fund compared to its peers?,Are there any risk warnings specific to this fund?,What is the market capitalisation of the equities held by the fund?,What types of fixed interest assets does the fund hold?,What percentage of the fund is allocated to cash/money market investments?,What are the regulated frameworks under which the fund operates?
Aviva_Pension_MyM_BlackRock_(40-60)_Global_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,23.06%,26.70%,60.19%,"<SHELL,3.0%>,<MICROSOFT CORPORATION,3.0%>,<ASTRAZENECA,2.9%>,<APPLE,2.6%>,<HSBC HOLDINGS,2.2%>,<NVIDIA CORP,2.1%>,<UNILEVER,1.7%>,<AMAZON.COM,1.6%>,<BP,1.4%>,<GSK,1.1%>","<North American Equities,42.2%>,<UK Equities,35.3%>,<Developed Europe Equities,10.4%>,<Japan Equities,4.4%>,<Investment Trusts,2.0%>,<Developed Asia Equities (ex Japan),1.7%>,<Real Estate Investment,1.4%>,<Trusts,0.9%>,<Emerging Asia Equities,0.9%>,<Non-Classified Equities,0.2%>,<Middle East & Africa,0.1%>,<Equities,0.1%>,<Managed Funds,0.1%>,<Direct Property,0.1%>,<Other,0.9%>,<Cash/Money Market,0.3%>","<North America,42.3%>,<UK,35.3%>,<Developed Europe,10.5%>,<Japan,4.4%>,<Emerging Asia,0.9%>,<Middle East & Africa,0.1%>,<Cash/Money Market,0.3%>","<Technology,17.7%>,<Financials,17.1%>,<Consumer Discretionary,13.3%>,<Industrials,12.2%>,<Health Care,11.9%>,<Consumer Staples,8.1%>,<Energy,6.5%>,<Basic Materials,4.6%>,<Utilities,2.4%>,<Real Estate,2.3%>,<Telecommunications,2.1%>,<Managed Funds,0.1%>,<Other,1.3%>,<Cash/Money Market,0.3%>",NA,NA,NA,NA,NA,Yes,"<Mega (Greater than 50bn),36.3%>,<Large (3bn-50bn),43.5%>,<Medium (1bn-3bn),3.6%>,<Small (50m-1bn),1.7%>,<Micro (Less than 50m),0.0%>,<Other,14.7%>,<Cash/Money Market,0.3%>",NA,0.30%,NA
Aviva_Pension_MyM_BlackRock_(50-50)_Global_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],15.74%,12.62%,17.81%,20.17%,42.71%,127.11%,"<ASTRAZENECA,3.5%>,<SHELL,3.4%>,<HSBC HOLDINGS,2.8%>,<UNILEVER,2.5%>,<RELX,1.3%>,<BP,1.3%>,<APPLE,1.2%>,<GSK,1.2%>,<NVIDIA CORPORATION,1.2%>,<MICROSOFT CORPORATION,1.1%>","<UK Equities,44.0%>,<North American Equities,16.9%>,<Developed Europe Equities,16.8%>,<Japan Equities,8.1%>,<Developed Asia Equities (ex Japan),5.2%>,<Investment Trusts,2.7%>,<Emerging Asia Equities,2.3%>,<Real Estate Investment Trusts,1.5%>,<Alternative - Trading Strategies,1.1%>,<Non-Classified Equities,0.4%>,<Managed Funds,0.1%>,<Developed Europe High Yield Bonds,0.1%>,<Other,0.6%>","<UK,44.0%>,<North America,16.7%>,<Developed Europe,17.0%>,<Emerging Europe,0.1%>,<Japan,8.1%>,<Developed Asia,1.6%>,<Emerging Asia,2.3%>,<Australia & New Zealand,3.7%>","<Financials,20.7%>,<Industrials,14.3%>,<Consumer Discretionary,12.7%>,<Health Care,11.6%>,<Technology,10.2%>,<Consumer Staples,8.2%>,<Energy,6.2%>,<Basic Materials,5.6%>,<Utilities,3.1%>,<Real Estate,2.6%>,<Telecommunications,2.6%>,<Alternative Trading Strategies,1.1%>,<Other,1.2%>",NA,NA,NA,15.74%,3,Yes,"<Mega (Greater than 50bn),34.6%>,<Large (3bn-50bn),48.0%>,<Medium (1bn-3bn),5.1%>,<Small (50m-1bn),2.2%>,<Micro (Less than 50m),0.0%>,<Other,10.1%>,<Cash/Money Market,-0.1%>",NA,"<Cash/Money Market,0.1%>",NA
Aviva_Pension_MyM_BlackRock_(60-40)_Global_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,17.29%,20.15%,39.97%,"<ASTRAZENECA,4.2%>,<SHELL,4.1%>,<HSBC HOLDINGS,3.4%>,<UNILEVER,2.8%>,<RELX,1.6%>,<BP,1.6%>,<GSK,1.4%>,<RIO TINTO,1.4%>,<DIA GEO,1.4%>,<LONDON STOCK EXCHANGE GROUP,1.3%>","<UK Equities,53.0%>,<Developed Europe Equities,13.7%>,<North American Equities,13.6%>,<Japan Equities,6.6%>,<Developed Asia Equities (ex Japan),4.2%>,<Investment Trusts,3.3%>,<Emerging Asia Equities,1.8%>,<Real Estate Investment Trusts,1.5%>,<Alternative - Trading Strategies,1.1%>,<Other,0.7%>","<UK,52.9%>,<North America,13.3%>,<Developed Europe,13.8%>,<Japan,6.6%>,<Emerging Asia,1.8%>,<Developed Asia,1.3%>","<Financials,21.5%>,<Industrials,13.9%>,<Consumer Discretionary,12.5%>,<Health Care,11.6%>,<Consumer Staples,8.9%>,<Technology,8.3%>,<Energy,6.9%>,<Basic Materials,5.8%>,<Utilities,3.3%>,<Real Estate,2.6%>,<Telecommunications,2.3%>,<Alternative Trading Strategies,1.1%>,<Other,1.4%>",NA,NA,NA,NA,4,"<A - General, Yes>,<B - Foreign Exchange Risk, Yes>","<Mega (Greater than 50bn),33.4%>,<Large (3bn-50bn),47.5%>,<Medium (1bn-3bn),5.5%>,<Small (50m-1bn),2.7%>,<Micro (Less than 50m),0.0%>,<Other,10.9%>,<Cash/Money Market,-0.1%>",NA,"<Cash/Money Market,0.1%>",NA
Aviva_Pension_MyM_BlackRock_All_Stocks_UK_Gilt_Index_Tracker_[Unnamed_Life-Pension_fund_unit],8.50%,3.21%,NA,5.46%,-22.56%,-22.00%,"<5% Treasury Stock 2025,3.0%>,<4.1% Treasury Gilt 2030,2.6%>,<4.1% Treasury Stock 2032,2.5%>,<4 1/2 Treasury 2034,2.5%>,<0.5/8% Treasury Gilt 2025,2.4%>,<0.1% Treasury Gilt 2026,2.4%>,<3.1% Treasury Gilt 2025,2.4%>,<1.1% Treasury Gilt 2026,2.4%>,<1.4% Treasury Gilt 2027,2.2%>,<3.4% Treasury Gilt 2027,2.2%>","<UK Gilts,96.9%>,<Other,2.2%>,<Cash/Money Market,1.0%>","<UK,96.9%>",NA,"<AA,96.9%>,<Cash/Money Market,1.0%>,<Other,2.2%>",NA,NA,8.50%,1,Yes,NA,Fixed interest assets,1.00%,NA
Aviva_Pension_MyM_BlackRock_Consensus_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,15.93%,12.95%,33.43%,"<ASTRAZENECA,1.8%>,<SHELL,1.8%>,<APPLE,1.7%>,<MICROSOFT CORPORATION,1.6%>,<NVIDIA CORPORATION,1.4%>,<HSBC HOLDINGS,1.3%>,<UNILEVER,1.2%>,<AMAZON.COM,0.9%>,<BP,0.8%>,<RELX,0.7%>","<International Equities,47.7%>,<UK Equities,22.3%>,<International Bonds,15.4%>,<UK Gilts,7.3%>,<Money Market,1.3%>,<Investment Trusts,1.3%>,<Property,0.9%>,<UK Corporate Bonds,0.9%>,<Managed Funds,0.3%>,<Alternative Trading Strategies,0.0%>,<Other,2.0%>,<Cash/Money Market,0.7%>","<North America,32.4%>,<UK,30.4%>,<Developed Europe,17.9%>,<Emerging Europe,0.1%>,<Emerging Asia,1.5%>,<Middle East & Africa,0.1%>,<Japan,7.8%>,<Australia & New Zealand,1.9%>,<South & Central America,0.1%>,<Cash/Money Market,2.0%>","<Financials,13.0%>,<Technology,11.6%>,<Industrials,10.0%>,<Consumer Discretionary,9.1%>,<Health Care,8.7%>,<Government Bonds,7.3%>,<Consumer Staples,5.9%>,<Energy,4.4%>,<Basic Materials,3.2%>,<Utilities,2.3%>,<Telecommunications,1.8%>,<Real Estate,1.7%>,<Other,1.9%>,<Cash/Money Market,2.0%>","<AAA,8.1%>,<AA,8.4%>,<A,1.5%>,<BBB,1.3%>,<BB,0.0%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,2.0%>,<Not Rated,4.2%>,<Non Debt,74.5%>",NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,No>,<D - Smaller Companies,Yes>,<E - Fixed Interest,Yes>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,Yes>,<I - High Yield Bonds,No>,<J - Reinsured Funds,Yes>,<K - Long Term Asset Funds,No>",NA,NA,"<Cash/Money Market,0.7%>",NA
Aviva_Pension_MyM_BlackRock_Corporate_Bond_All_Stocks_Index_Tracker_[Unnamed_Life-Pension_fund_unit],10.33%,6.18%,9.36%,9.36%,-9.07%,-5.08%,"<KFW 6% 07/12/2028,0.8%>,<European Investment Bank 6% 2028,0.6%>,<KFW 4.125% 18/02/2026,0.5%>,<EIB 5.625% 07/06/32,0.4%>,<INTER AMER 1.25% 15/12/25,0.4%>,<EUROPEAN INVESTM 1% 09/26,0.3%>,<KFW 0.875% 15/09/2026,0.3%>,<KFW 5.75% 07/06/32,0.3%>,<KFW 0.125% 30/12/2026,0.3%>,<ITALY 6% 04/08/28,0.3%>","<International Bonds,59.6%>,<UK Corporate Bonds,32.8%>,<Money Market,0.1%>,<Other,5.7%>,<Cash/Money Market,1.8%>","<North America,17.7%>,<UK,32.8%>,<Dev. Europe,29.9%>,<Emerging Asia,15%>,<Japan,0.3%>,<South & Central America,0.6%>,<Middle East & Africa,0.4%>,<Developed Asia,0.2%>,<Australia & New Zealand,1.2%>",NA,"<AAA,20.7%>,<AA,11.0%>,<A,25.1%>,<BBB,27.7%>,<BB,0.4%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,1.8%>,<Not Rated,7.6%>,<Non Debt,5.7%>","<Greater than 15Yr Maturity,17.4%>,<10Yr - 15Yr Maturity,10.2%>,<5Yr - 10Yr Maturity,18.9%>,<Less than 5Yr Maturity,46.0%>,<Cash/Money Market,1.8%>,<Other,5.7%>",NA,10.33%,3,Yes,NA,NA,1.80%,NA
Aviva_Pension_MyM_BlackRock_Currency_Hedged_MSCI_World_Index_[Unnamed_Life-Pension_fund_unit],30.07%,18.59%,0.00%,35.48%,25.53%,77.72%,"<MICROSOFT CORPORATION,4.5%>,<APPLE,4.3%>,<NVIDIA CORPORATION,4.2%>,<AMAZON.COM,2.5%>,<META PLATFORMS,1.6%>,<ALPHABET INC,1.6%>,<ALPHABET INC,1.4%>,<ELI LILLY AND COMPANY,1.0%>,<BROADCOM INC,0.9%>,<JPMORGAN CHASE & CO,0.9%>","<North American Equities,70.5%>,<Developed Europe Equities,14.8%>,<Japan Equities,5.8%>,<UK Equities,3.8%>,<Developed Asia Equities (ex Japan),2.5%>,<Alternative - Trading Strategies,1.7%>,<Real Estate Investment Trusts,1.2%>,<Non-Classified Equities,0.3%>,<Middle East & Africa Equities,0.2%>,<Developed Europe High Yield Bonds,0.1%>,<Managed Funds,0.1%>,<Developed Europe,0.0%>,<Investment Grade Bonds,0.0%>,<Other,0.0%>","<North America,70.5%>,<Developed Europe,14.8%>,<Japan,5.8%>,<UK,3.8%>,<Middle East & Africa,0.2%>,<Developed Asia,2.5%>","<Technology,27.8%>,<Consumer Discretionary,13.3%>,<Industrials,13.3%>,<Financials,13.2%>,<Health Care,11.4%>,<Consumer Staples,5.3%>,<Energy,4.6%>,<Basic Materials,3.0%>,<Utilities,2.8%>,<Telecommunications,2.2%>,<Real Estate,2.1%>,<Alternative Trading Strategies,1.7%>,<Other,0.2%>",NA,NA,NA,NA,"<1,1>",Yes,"<Mega (Greater than 50bn),44.8%>,<Large (3bn-50bn),47.8%>,<Medium (1bn-3bn),0.8%>,<Small (50m-1bn),0.1%>,<Micro (Less than 50m),0.0%>,<Other,7.4%>,<Cash/Money Market,-0.9%>",NA,-0.90%,NA
Aviva_Pension_MyM_BlackRock_DC_Diversified_Growth_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,16.78%,7.50%,25.19%,"<BLACKSTONE LOAN FINANCING LIMITED,2.8%>,<Baillie Gifford & Co Limited Scottish Mortgage Investment Trust Plc Ord GBP0.05,2.2%>,<ENSEMBL INC O STRUCT NTE CIMCS05 RegS 08/11/2028,1.0%>,<Molten Ventures Plc Molten Ventures plc Ord,0.9%>,<RELX,0.8%>,<BANCO CENTRAL DE LA REPUBLICA ARGE 3 05/31/2026,0.8%>,<BlackRock Investment Trusts BlackRock Frontiers Investment Trust plc Ord GBP0.01,0.7%>,<NOVO NORDISK A/S,0.7%>,<ASTRAZENECA,0.7%>,<BANCO CENTRAL DE LA REPUBLICA ARGE 5 10/31/2027,0.7%>","<International Bonds,27.2%>,<International Equities,23.5%>,<Money Market,13.2%>,<US Equities,11.1%>,<UK Equities,6.9%>,<Investment Trusts,5.9%>,<Managed Funds,2.1%>,<Commodities,2.0%>,<Alternative Trading,1.7%>,<Strategies,0.2%>,<Property,0.2%>,<UK Gilts,0.1%>,<Other,3.8%>,<Cash/Money Market,2.4%>","<North America,23.2%>,<UK,18.1%>,<Developed Europe,17.0%>,<Emerging Europe,0.3%>,<Emerging Asia,2.2%>,<Middle East & Africa,0.3%>,<Japan,0.4%>,<Australasia & New Zealand,0.7%>,<South & Central America,1.4%>,<Cash/Money Market,15.6%>","<Financials,9.5%>,<Technology,7.6%>,<Industrials,6.5%>,<Consumer Discretionary,4.1%>,<Health Care,2.6%>,<Managed Funds,2.1%>,<Commodities,2.0%>,<Alternative Trading,1.7%>,<Strategies,1.1%>,<Basic Materials,0.8%>,<Telecommunications,0.8%>,<Energy,0.8%>,<Utilities,0.8%>,<Other,44.8%>,<Cash/Money Market,15.6%>","<AAA,3.8%>,<AA,1.2%>,<A,5.7%>,<BBB,10.4%>,<BB,2.6%>,<B,0.2%>,<Less than CCC,0.1%>,<Cash/Money Market,15.6%>,<Not Rated,10.3%>,<Non Debt,50.2%>",NA,NA,NA,3,"<General Risk,Yes>,<Foreign Exchange Risk,Yes>,<Emerging Markets,No>,<Smaller Companies,Yes>,<Fixed Interest,Yes>,<Derivatives,Yes>,<Cash/Money Market Funds,No>,<Property Funds,No>,<High Yield Bonds,No>,<Reinsured Funds,Yes>,<Long Term Asset Funds,No>",NA,NA,2.40%,NA
Aviva_Pension_MyM_BlackRock_Developed_World_Fossil_Fuel_Screened_Index_[Unnamed_Life-Pension_fund_unit],6.28%,NA,NA,29.86%,NA,NA,"<APPLE,5.3%>,<MICROSOFT CORPORATION,4.7%>,<NVIDIA CORPORATION,4.6%>,<AMAZON.COM,2.7%>,<META PLATFORMS,1.9%>,<ALPHABET INC,1.5%>,<ALPHABET INC,1.3%>,<BROADCOM,1.2%>,<TESLA,1.2%>,<ELI LILLY AND COMPANY,1.1%>","<North American Equities,70.9%>,<Developed Europe Equities,14.7%>,<Japan Equities,5.5%>,<UK Equities,3.1%>,<Developed Asia Equities (ex Japan),2.4%>,<Real Estate Investment Trusts,1.4%>,<Non-Classified Equities,0.3%>,<Middle East & Africa Equities,0.2%>,<Managed Funds,0.1%>,<Developed Europe High Yield Bonds,0.0%>,<Developed Europe Investment Grade Bonds,0.0%>,<Alternative - Trading Strategies,0.0%>,<Cash/Money Market,1.4%>","<North America,71.0%>,<UK,3.1%>,<Developed Europe,14.8%>,<Japan,5.5%>,<Middle East & Africa,0.2%>,<Developed Asia,0.7%>,<Australia & New Zealand,1.7%>","<Technology,30.5%>,<Consumer Discretionary,14.4%>,<Financials,13.2%>,<Health Care,12.5%>,<Industrials,12.3%>,<Telecommunications,2.5%>,<Real Estate,2.4%>,<Utilities,2.1%>,<Energy,0.9%>,<Managed Funds,0.1%>,<Other,0.3%>,<Cash/Money Market,1.4%>",NA,NA,NA,NA,1,Yes,"<Mega (Greater than 50bn),44.1%>,<Large (3bn-50bn),47.8%>,<Medium (1bn-3bn),0.8%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,5.8%>,<Cash/Money Market,1.4%>","<High Yield Bonds,0.1%>,<Investment Grade Bonds,0.0%>",1.40%,NA
Aviva_Pension_MyM_BlackRock_Emerging_Markets_Equity_(Aquila_C)_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,17.24%,-0.57%,19.16%,"<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,9.2%>,<TENCENT HOLDINGS LIMITED,4.0%>,<SAMSUNG ELECTRONICS CO. LTD,3.8%>,<ALIBABA GROUP HOLDING LIMITED,2.0%>,<SK HYNIX,1.0%>,<PDD HOLDINGS INC,1.0%>,<RELIANCE INDUSTRIES LIMITED,1.0%>,<ICICI BANK LIMITED,1.0%>,<HON HAI PRECISION INDUSTRY,1.0%>,<INFOSYS LTD,1.0%>","<Emerging Asia Equities,74.3%>,<Middle East & Africa Equities,9.5%>,<South & Central America Equities,6.5%>,<Emerging Europe Equities,2.3%>,<Non-Classified Equities,1.9%>,<Developed Asia Equities (ex Japan),1.9%>,<North American Equities,1.6%>,<Managed Funds,0.2%>,<Developed Europe Equities,0.2%>,<UK Equities,0.2%>,<Real Estate Investment Trusts,0.1%>,<Alternative - Trading Strategies,0.0%>,<Other,0.0%>,<Cash/Money Market,1.2%>","<India,19.7%>,<China,19.6%>,<Taiwan,18.2%>,<South Korea,11.9%>,<Saudi Arabia,4.1%>,<Brazil,4.0%>,<South Africa,2.8%>,<Mexico,1.9%>,<Other,16.6%>,<Cash/Money Market,1.2%>","<Technology,26.0%>,<Financials,22.1%>,<Consumer Discretionary,11.1%>,<Telecommunications,7.7%>,<Industrials,7.4%>,<Basic Materials,5.9%>,<Energy,5.6%>,<Consumer Staples,4.9%>,<Health Care,3.4%>,<Utilities,2.9%>,<Real Estate,1.5%>,<Managed Funds,0.2%>,<Other,0.1%>,<Cash/Money Market,1.2%>",NA,NA,NA,4.08%,2,Yes,"<Mega (Greater than 50bn),31.2%>,<Large (3bn-50bn),50.1%>,<Medium (1bn-3bn),3.8%>,<Small (50m-1bn),0.2%>,<Micro (Less than 50m),0.1%>,<Other,13.5%>,<Cash/Money Market,1.2%>",NA,1.20%,NA
Aviva_Pension_MyM_BlackRock_European_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],16.92%,19.13%,2.53%,16.31%,13.12%,44.22%,"<NOVO NORDISK A/S,4.3%>,<ASML HOLDING N.V.,3.4%>,<NESTLE S.A.,2.7%>,<SAP SE,2.6%>,<NOVARTIS AG,2.4%>,<ROCHE HOLDING AG,2.3%>,<LVMH MOET HENNESSY LOUIS VUITTON,2.0%>,<SIEMENS AKTIENGESELLSCHAFT,1.6%>,<SCHNEIDER ELECTRIC SE,1.4%>,<ALLIANZ SE,1.3%>","<Developed Europe Equities,94.6%>,<Non-Classified Equities,2.3%>,<Emerging Europe Equities,0.5%>,<Developed Europe High Yield Bonds,0.5%>,<Real Estate Investment Trusts,0.3%>,<Developed Europe Investment Grade Bonds,0.2%>,<Japan High Yield Bonds,0.0%>,<Other,0.9%>,<Cash/Money Market,0.8%>","<Switzerland,18.3%>,<France,18.1%>,<Germany,16.5%>,<Netherlands,11.4%>,<Sweden,7.3%>,<Denmark,6.7%>,<Spain,5.3%>,<Italy,4.9%>,<Other,10.8%>,<Cash/Money Market,0.8%>","<Industrials,18.6%>,<Financials,18.5%>,<Health Care,16.7%>,<Consumer Discretionary,11.7%>,<Technology,9.7%>,<Consumer Staples,6.7%>,<Basic Materials,4.3%>,<Utilities,4.1%>,<Energy,3.4%>,<Telecommunications,2.8%>,<Real Estate,1.2%>,<Other,1.5%>,<Cash/Money Market,0.8%>",NA,NA,NA,NA,1,Yes,"<Mega (Greater than 50bn),41.7%>,<Large (3bn-50bn),48.0%>,<Medium (1bn-3bn),0.2%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,9.4%>,<Cash/Money Market,0.8%>","<High Yield Bonds,No>,<Investment Grade Bonds,No>",0.80%,NA
Aviva_Pension_MyM_BlackRock_Japanese_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,12.32%,15.69%,33.25%,"<TOYOTA MOTOR CORPORATION,4.7%>,<MITSUBISHI UFJ FINANCIAL GROUP,2.7%>,<HITACHI,2.5%>,<SONY CORP,2.4%>,<KEYENCE CORPORATION,2.0%>,<RECRUIT HOLDINGS CO.,1.9%>,<MITSUI SUMITOMO INSURANCE CO.,1.8%>,<MITSUBISHI CORPORATION,1.7%>,<SHIN-ETSU CHEMICAL CO.,1.6%>,<TOKIO MARINE HOLDINGS,1.6%>","<Japan Equities,96.7%>,<Alternative - Trading Strategies,1.8%>,<Real Estate Investment Trusts,0.9%>,<Managed Funds,0.5%>,<Cash/Money Market,0.1%>","<Japan,96.7%>,<Direct Property and REITs,0.9%>,<Managed Funds,0.5%>,<Other,1.8%>,<Cash/Money Market,0.1%>","<Industrials,26.7%>,<Consumer Discretionary,21.1%>,<Financials,13.2%>,<Technology,10.9%>,<Health Care,7.9%>,<Consumer Staples,5.2%>,<Basic Materials,4.7%>,<Telecommunications,3.9%>,<Real Estate,2.8%>,<Alternative Trading Strategies,1.8%>,<Energy,0.6%>,<Utilities,0.6%>,<Managed Funds,0.5%>,<Cash/Money Market,0.1%>",NA,NA,NA,NA,2,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,No>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>","<Mega (Greater than 50bn),24.2%>,<Large (3bn-50bn),63.4%>,<Medium (1bn-3bn),8.7%>,<Small (50m-1bn),0.2%>,<Micro (Less than 50m),0.0%>,<Other,3.4%>,<Cash/Money Market,0.1%>",NA,0.10%,NA
Aviva_Pension_MyM_BlackRock_Market_Advantage_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,13.14%,-1.29%,5.41%,NA,"<Developed Sovereign Debt,26.6%>,<Inflation Linked Debt,4.4%>,<Emerging Market Equity,9.1%>,<Investment Grade Debt,4.0%>,<Emerging Market Sovereign Debt,1.8%>,<Developed Equity,20.2%>,<Commodities,6.9%>,<Property,4.8%>,<High Yield Debt,14.2%>,<Other,2.8%>,<Cash,1.0%>",NA,NA,NA,NA,NA,NA,NA,Yes,NA,Corporate Bonds,1.00%,NA
Aviva_Pension_MyM_BlackRock_MSCI_World_Index_(non_Hedged)_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,27.93%,31.48%,NA,"<APPLE,4.8%>,<MICROSOFT CORPORATION,4.3%>,<NVIDIA CORPORATION,4.3%>,<AMAZON.COM,2.6%>,<META PLATFORMS,1.5%>,<ALPHABET INC,1.5%>,<ALPHABET INC,1.3%>,<BROADCOM,1.0%>,<TESLA,1.0%>,<ELI LILLY AND COMPANY,1.0%>","<North American Equities,70.8%>,<Developed Europe Equities,14.2%>,<Japan Equities,5.8%>,<UK Equities,3.7%>,<Developed Asia Equities (ex Japan),2.5%>,<Real Estate Investment Trusts,1.2%>,<Non-Classified Equities,0.3%>,<Middle East & Africa Equities,0.2%>,<Managed Funds,0.1%>,<Developed Europe High Yield Bonds,0.1%>","<North America,70.9%>,<Developed Europe,14.2%>,<Japan,5.8%>,<UK,3.7%>,<Middle East & Africa,0.2%>,<Developed Asia,0.7%>","<Technology,28.1%>,<Financials,13.2%>,<Industrials,13.2%>,<Consumer Discretionary,13.1%>,<Health Care,11.5%>,<Consumer Staples,5.2%>,<Energy,4.4%>,<Basic Materials,2.8%>,<Utilities,2.8%>,<Telecommunications,2.2%>,<Real Estate,2.2%>",NA,NA,NA,NA,1,Yes,"<Mega (Greater than 50bn),44.5%>,<Large (3bn-50bn),47.7%>,<Medium (1bn-3bn),0.7%>,<Small (50m-1bn),0.1%>,<Micro (Less than 50m),0.0%>,<Other,5.8%>,<Cash/Money Market,1.2%>",NA,1.20%,NA
Aviva_Pension_MyM_BlackRock_Overseas_Bond_Index_Tracker_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,-0.01%,-9.81%,-13.66%,"<US TRE 1.375% 15/11/2031,0.5%>,<US T BILL NE 2.25% 08/27,0.5%>,<US TRE 4.375% 15/05/2034,0.4%>,<US TRE 2.875% 15/05/2032,0.4%>,<US TRE 4.25% 31/12/2025,0.4%>,<US TRE NB 3.5% 15/02/2033,0.4%>,<US TRE 1.25% 15/08/2031,0.4%>,<US TRE 3.875% 15-08-2034,0.4%>,<US TRE 3.875% 15/08/2033,0.4%>,<US TRE 0.625% 15/08/2030,0.4%>","<International Bonds,98.5%>,<Other,0.4%>,<Cash/Money Market,1.5%>","<North America,54.6%>,<Developed Europe,24.8%>,<Japan,17.5%>,<Australia & New Zealand,1.5%>,<Cash/Money Market,1.5%>",NA,"<AAA,57.4%>,<AA,3.9%>,<A,8.0%>,<BBB,4.8%>,<BB,0.0%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,1.5%>,<Not Rated,24.4%>,<Non Debt,0.0%>",NA,NA,NA,"<1Yr,3>,<3Yr,2>,<5Yr,3>,<10Yr,1>",Yes,NA,E - Fixed Interest,1.50%,NA
Aviva_Pension_MyM_BlackRock_Over_15_Year_Corporate_Bond_Index_Tracker_[Unnamed_Life-Pension_fund_unit],14.90%,2.24%,-38.55%,13.93%,-30.68%,-23.91%,"<ELECTRICITE DE FRANCE SA MTN RegS 5.5 10/17/2041,1.8%>,<ENEL FINANCE INTERNATIONAL SA MTN RegS 5.75 09/14/2040,1.7%>,<ELECTRICITE DE FRANCE SA MTN RegS 6 01/23/2114,1.5%>,<AT&T INC MTN 7 04/30/2040,1.5%>,<LCR FINANCE PLC 5.1 03/07/2051,1.4%>,<AT&T INC 4.875 06/01/2044,1.4%>,<THFC FUNDING NO 3 PLC MTN RegS 5.2 10/11/2043,1.3%>,<PFIZER INC RegS 2.735 06/15/2043,1.2%>,<GDF SUEZ MTN RegS 5 10/01/2060,1.2%>,<LLOYDS TSB BANK PLC MTN RegS 6.5 09/17/2040,1.2%>","<UK Corporate Bonds,54.7%>,<International Bonds,42.7%>,<Money Market,0.2%>,<Other,2.2%>,<Cash/Money Market,0.3%>","<North America,11.7%>,<UK,54.7%>,<Dev Europe,18.4%>,<Japan,0.5%>,<South & Central America,1.8%>,<Developed Asia,0.6%>,<Australia & New Zealand,1.1%>,<Cash/Money Market,0.4%>",NA,"<AAA,4.8%>,<AA,10.6%>,<A,31.7%>,<BBB,38.4%>,<BB,0.0%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,0.4%>,<Not Rated,11.4%>,<Non Debt,2.2%>",">15Yr Maturity,97.3%",NA,NA,1,Yes,NA,"<Investment Grade Corporate Bonds,Yes>",0.20%,NA
